New Situation,Barry 7's Connectors 2,Giampiero Boneschi,7,True,0.518,0.434,6,-14.658,1,0.0322,0.715,0.0044,0.227,0.474,158.021,182067,4.0,2002-11-18
The Sound of Snowflakes Touching the Ground - Remastered,Mossebo (Special Edition),"Johan Agebjörn, Lisa Barra",2,True,0.325,0.412,2,-16.045,0,0.0338,0.108,0.9,0.103,0.039,113.999,525461,4.0,2008-09-09
The Long Way Home,The Long Way Home,Linda Allen,1,True,0.476,0.167,7,-16.834,1,0.037,0.665,0.0002,0.131,0.434,131.319,241667,4.0,1999-01-01
Hell Train,Back Where You Belong,Soul Shine Society,3,True,0.39,0.783,7,-7.226,1,0.0539,0.0061,0.858,0.145,0.713,161.649,209640,4.0,2014-08-26
Intermission,Narcoleptic Pianist,Danny Birt,7,True,0.298,0.0589,0,-26.9,1,0.0621,0.994,0.938,0.108,0.123,76.506,119227,5.0,2002-03-26
Hit Record,Eat My Dust,Kowtow Popof,5,True,0.475,0.914,9,-7.246,1,0.0785,0.0046,0.0,0.342,0.773,164.853,182000,4.0,1999-01-01
Yato,Patty Mayonnaise,Darren Isaiah,2,True,0.643,0.757,7,-7.461,1,0.0741,0.0255,0.0,0.248,0.403,86.97,224557,4.0,2020-01-28
Only Broken Heart,Only Broken Heart,Warrant,1,True,0.333,0.904,5,-2.936,0,0.0516,0.0006,0.0,0.132,0.531,154.748,292063,4.0,2017-03-24
I Couldn't Leave You If I Tried,Diamonds & Dirt,Rodney Crowell,2,True,0.637,0.703,0,-8.54,1,0.027,0.202,0.0,0.24,0.893,136.466,197733,4.0,1988-01-01
Masterwish,Masterwish,Danny Newcomb & the Sugarmakers,5,True,0.311,0.69,6,-3.432,1,0.0456,0.0121,0.0,0.126,0.344,111.28,254467,4.0,2015-08-01
Messages - Original Mix,On The Inner Plains,Ttam Renat,1,True,0.678,0.818,6,-8.301,0,0.0465,0.0004,0.865,0.842,0.539,123.968,603414,4.0,2013-10-31
